,screen_name,created_at,full_text
45,rolowyj,2019-05-26 17:40:19,Que ansiedad gente hoy a ver el ultimo cap de got #GOTFinale #GameOfThones
46,Just_a_Galadin,2019-05-26 17:39:59,"RT @harikondabolu: PEOPLE OF COLOR: ""Game of Thrones"" ends tonight. White people will be at their most vulnerable. Tonight is the night we "
47,buffalozomb,2019-05-26 17:37:11,@NASCARonNBC @JEarnhardt1 scrolled really fast by this at first thinking it might be a #GOTFinale spoiler.
48,LornaPolaris1,2019-05-26 17:32:25,I fan di got si dividono in chi c'ha pensato a questa cosa e chi mente #GOTFinale #gameofthrones #JamieLannister https://t.co/7l9k0DpYcg
49,katodestaercke,2019-05-26 17:27:29,RT @hummusprinses: Ik wil vrienden die met mij naar verkiezingsresultaten kijken alsof GOTfinale of een WK is https://t.co/Q80ngpk5Gc
50,RonalVargasAray,2019-05-26 17:23:25,"RT @sancarlena77: Solo un dato: la cantidad estimada de espectadores de Game Of Thrones es de 30 millones, lo que significa un 0,41% de la "
51,AKandzen,2019-05-26 17:23:23,"@wgtc_site @King_Brynolf hur n jd/missn jd var du med sista avsnittet #GOTFinale .!?? Vissa dratt det till sin spets att man  dslat bort 8  r.. 
Poch var visst inte heller n jd sa han..!"
52,Juudss__,2019-05-26 17:20:36,RT @QiQ3_: Resumen... #GOT #GOTFinale https://t.co/W1LvwRBRow
53,Juudss__,2019-05-26 17:18:49,"RT @theSoldMonk: LOL..true
#got  #GOTFinale #GOTfinal https://t.co/ZYjG2YVjYX"
54,Juudss__,2019-05-26 17:18:35,RT @toddmccomas: I hate to be one  of those  fans but whoever was in charge of editing the #GOTFinale should be fired.  I understand missin 
55,Juudss__,2019-05-26 17:18:18,"RT @scicasm: Probably, this would have been a better ending  
#GameOfThronesFinale #GOTFinale https://t.co/xJ6cHiKeMs"
56,robbe_z,2019-05-26 17:16:21,RT @hummusprinses: Ik wil vrienden die met mij naar verkiezingsresultaten kijken alsof GOTfinale of een WK is https://t.co/Q80ngpk5Gc
