,screen_name,created_at,full_text
50,savage1250,2019-05-26 19:43:43,"20 lingering questions about the Game of Thrones series finale https://t.co/Q7vI99cSCD   
#GameOfThrones #GameOfThronesFinale"
51,Oriel_Morrison,2019-05-26 19:43:06,"RT @CurtisSChin: What a past week in #Asia: in no special order 
   #Japan: #POTUSinJapan
   #Taiwan: #marriageequality
   #India &amp;    #Ind "
52,indiastroker,2019-05-26 19:42:57,RT @CostumeCinemato: Closeup detail of #SansaStark coronation gown. #GameOfThrones #GameofThronesFinale Image courtesy of @HBO. Source Mich 
53,popeyevavaly,2019-05-26 19:42:06,"RT @NightPhoomin: Game of RuPaul 
     ... Jon Snow                            #GameofThrones #GameOfThronesFinale #JonSnow https://t.co/FM "
54,L0kigirlx,2019-05-26 19:41:52,"RT @LiveboldlyClark: SPOILER. (?) 
Me acaba de explotar la cabeza.
#GameofThrones #GameOfThronesFinale https://t.co/LVc4D7R8gp"
55,amaralfabiola2,2019-05-26 19:41:07,Do you think hbo will exhibit the real #got finale today? #GameOfThronesFinale
56,giplosado,2019-05-26 19:40:48,RT @neleknhl: Thank fuck that's over and we can all get on with pretending it never happened. #GameOfThronesFinale
57,Tommy_Mccu,2019-05-26 19:39:55,RT @GodspowerTalks: Damn this dude perfected the Game of Thrones Characters.    #GameOfThronesFinale #TheFinalEpisode https://t.co/JuCDvgKj 
58,jfran_ps,2019-05-26 19:38:56,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
59,aturcluton,2019-05-26 19:38:41,RT @Loydenator: This has just nearly killed me off haha #GameOfThrones #GOT #Gameofthronesfinale https://t.co/pw3X2ROqjq
60,ApolOutis,2019-05-26 19:38:36,"RT @jesussooy: Sansa: Oye Bran ya viste la ardilla? 
Bran:  cual ardilla?
Sansa:  la que te tira con la silla #GameOfThronesFinale https:// "
61,Julianperezj,2019-05-26 19:38:33,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
62,jualpiro,2019-05-26 19:38:18,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
