index,screen_name,created_at,text
2797,taralipinski,2018-02-12 05:26:06,No time for a quick change.  g.y.p.s.y_l.i.f.e @johnnygweir   dressthepopulation   cuffs  
2798,taralipinski,2018-02-12 05:37:02,@DebbieFree3 @NBCOlympics @ShibSibs @nbc We were not calling dance but it was a fabulous event! Hope you enjoyed it!
2799,taralipinski,2018-02-12 07:13:09,Aww!! Love this 
2800,taralipinski,2018-02-12 07:21:58,@patmuldowney @HolyCowBBQLA Yes most definitely haha!!
2801,taralipinski,2018-02-12 16:20:47,Just living that peacock   life... and loving it. #NBC NNNNNBBBBCCCC @ Gangneung 
2802,taralipinski,2018-02-12 16:35:43,RT @GQMagazine: How @JohnnyGWeir and @TaraLipinski became the most iconic duo in figure skating  #PyeongChang2018 ht 
2803,taralipinski,2018-02-13 00:12:13,This tweet made my morning!   Thank you @AnnaChlumsky 
2804,taralipinski,2018-02-13 00:19:54,"RT @SBNation: Tara and Johnny forever! ( : @taralipinski / Instagram) "
2805,taralipinski,2018-02-13 01:13:23,Love that you are watching! Thank you!!!    
2806,taralipinski,2018-02-13 03:30:47,After calling @mirai_nagasu triple Axel yesterday I got so many chills. It makes you realize how  
2807,taralipinski,2018-02-13 13:18:18,Your best friends laugh...enough said. #thebest @johnnygweir @ Gangneung 
2808,taralipinski,2018-02-14 06:55:47,So as I started writing this caption of what these rings mean to me....I just started crying  
2809,taralipinski,2018-02-14 09:46:16,RT @terrygannon83: Name the time and place @JJWatt. @taralipinski @JohnnyGWeir and I will call it 
2810,taralipinski,2018-02-14 11:05:24,As usual teamwork at its best. #winterolympics @NBCOlympics @JohnnyGWeir 
2811,taralipinski,2018-02-15 06:08:49,Terry rockin  the pink today. And the last picture you will see our surprise for him....one  
2812,taralipinski,2018-02-15 06:15:56,"RT @DatelineNBC: Nailed it, @taralipinski @JohnnyGWeir    @NBCOlympics #WinterOlympics "
2813,taralipinski,2018-02-15 12:38:05,"I finally got my 23andme results back. This was such a fun process, my parents took the test as  "
2814,taralipinski,2018-02-15 13:14:03,RT @JohnnyGWeir: 100% singing @katyperry before we went on air. #roar   Mariola Zysk @nbcolympics @taralipinski @TaraandJohnny  
2815,taralipinski,2018-02-15 22:13:09,Thank you!!!! @ringer  
2816,taralipinski,2018-02-15 22:56:40,This is our normal. I m looking off into space wondering what my next meal will be. Johnny is guiding me in my heel  
2817,taralipinski,2018-02-15 22:57:38,@AmyKinLA @ringer What a nice surprise to wake up to
2818,taralipinski,2018-02-15 23:00:11,"RT @TheNewPotato: .@taralipinski Talks #WinterOlympics, Shake Shack &amp; Advice to olympians! #Interview "
2819,taralipinski,2018-02-15 23:00:36,@katiebakes Thank you!!
2820,taralipinski,2018-02-15 23:03:52,RT @PlayersTribune: Olympic figure skater @taralipinski was 15 years old when she won a gold medal. She looks back on the experience and th 
2821,taralipinski,2018-02-16 07:17:02,What an emotional roller coaster of a men s event.#YuzuruHanyu was absolutely brilliant. What an inspiring performa  
2822,taralipinski,2018-02-16 13:50:21,My Broadcast Boys.   @johnnygweir @terrygannon83 
2823,taralipinski,2018-02-17 01:15:43,Pre show dancing.   @johnnygweir @terrygannon83 #winterolympics @nbcolympics @ Gangneung Ice Arena 
2824,taralipinski,2018-02-17 02:14:45,"RT @NormanCharles88: So many incredible Olympic Moments at #PyeongChang2018. This one brought tears to my eyes. Thank you, NBC.  #Olympics "
2825,taralipinski,2018-02-17 06:40:36,Omg @Lesdoggg I see you in the arena!!!!!!!! Hi!
2826,taralipinski,2018-02-17 06:40:52,RT @Lesdoggg: I don t know nothing without Tara and Johnny!! @NBCOlympics 
2827,taralipinski,2018-02-17 06:41:29,Love you! 
2828,taralipinski,2018-02-17 07:51:07,@Lesdoggg Love you more! Can t wait to see you
2829,taralipinski,2018-02-17 07:55:03,RT @TheTaffinator: @taralipinski @JohnnyGWeir @terrygannon83 @TaraandJohnny showing us how to pattern-mix AND how to mix metals. #Silver #G 
2830,taralipinski,2018-02-17 11:52:29,Love this 
