,screen_name,created_at,text
111,CNN,Sat Apr 20 10:00:08 +0000 2019,"Carl's Jr. is testing out a cannabis burger at a location in Denver, Colorado. It features a sauce infused with CBD… https://t.co/qkOtb3UfSA"
112,CNN,Sat Apr 20 09:40:05 +0000 2019,"George Conway, husband of top White House aide Kellyanne Conway, called for Congress to remove President Trump from… https://t.co/kdaDkJN9gR"
113,CNN,Sat Apr 20 09:20:03 +0000 2019,Researchers dispatched a drone into the Hawaiian skies to observe an extremely biodiverse area on a remote part of… https://t.co/BEXh6izxwX
114,CNN,Sat Apr 20 09:00:06 +0000 2019,"A militia group near the US-Mexico border detained hundreds of people this week, New Mexico's attorney general says… https://t.co/5dmYQSQX3N"
115,CNN,Sat Apr 20 08:40:07 +0000 2019,"After years of painstaking conservation, Neil Armstrong's Apollo 11 spacesuit will be shown this summer at the Smit… https://t.co/2DuQcILWKH"
116,CNN,Sat Apr 20 08:21:41 +0000 2019,Northern Ireland police have arrested two teenagers in the killing of 29-year-old investigative journalist Lyra McK… https://t.co/BUGKqbqKNC
117,CNN,Sat Apr 20 08:20:07 +0000 2019,"Hurricane Michael, which barreled into the Florida Panhandle in October, has been upgraded to a Category 5 storm, t… https://t.co/ylNhG0EYId"
118,CNN,Sat Apr 20 08:00:06 +0000 2019,"Southern California experiences an earthquake every three minutes, a new study finds https://t.co/kPahaRu1cn https://t.co/GZB4FzUdM7"
119,CNN,Sat Apr 20 07:40:00 +0000 2019,"“Repeatedly, you see a President and a White House that's frankly just replete with dishonesty, and that’s what com… https://t.co/hr8K1pl6qB"
120,CNN,Sat Apr 20 07:20:06 +0000 2019,Mueller's report looks bad for Obama | @ScottJenningsKY for @CNNopinion https://t.co/nUFTsacsOo https://t.co/PhXEoOiyds
121,CNN,Sat Apr 20 06:40:00 +0000 2019,Raffaele de Simone has one of the best jobs in the world: testing every Ferrari on the track and the hills around M… https://t.co/Jpwv3Cf3nB
122,CNN,Sat Apr 20 06:20:00 +0000 2019,This tiny electric car is made for the city https://t.co/okIgxILm9A https://t.co/zGv3KRMvks
123,CNN,Sat Apr 20 06:00:00 +0000 2019,"The iconic ""A Little White Wedding"" chapel in Las Vegas is now up for sale for $12 million https://t.co/J0UAaiow3X https://t.co/gppcpZ6Iw6"
124,CNN,Sat Apr 20 05:40:08 +0000 2019,Pot stocks are soaring and the cannabis industry is poised for 'tons of growth' https://t.co/38XWJ0Te1A https://t.co/WZodJMFsTw
125,CNN,Sat Apr 20 05:20:08 +0000 2019,"Two 14-year-old girls in Florida have been arrested after a teacher discovered their plans to kill nine people, she… https://t.co/NBxt4pKqhZ"
126,CNN,Sat Apr 20 05:00:07 +0000 2019,Here's the one thing the Mueller report proves beyond a shadow of a doubt | Analysis by @CillizzaCNN… https://t.co/aILhtwkITn
127,CNN,Sat Apr 20 04:40:03 +0000 2019,Former Vice President Joe Biden is poised to make his long-awaited announcement to jump into the 2020 presidential… https://t.co/Ktz3PKvZMO
128,CNN,Sat Apr 20 04:20:03 +0000 2019,"This flu season is the longest in a decade, the CDC says https://t.co/MUjXRhrAZE https://t.co/ubfsxaCLKC"
129,CNN,Sat Apr 20 04:00:00 +0000 2019,"Tiffany Faaee, Rugby United New York's assistant coach, is the first female coach in US men's professional rugby… https://t.co/Dpnd7UQ2et"
130,CNN,Sat Apr 20 04:00:00 +0000 2019,"Early reviews of the new Samsung Galaxy Fold aren't going over well, with reports of malfunctioning screens and cra… https://t.co/p4zBi1r5xq"
131,CNN,Sat Apr 20 03:40:06 +0000 2019,Fact check: Here's what Trump associates told the public vs. what they told Mueller https://t.co/dezmTHP39E https://t.co/2Gik1UH6OQ
132,CNN,Sat Apr 20 03:20:07 +0000 2019,Are you protected from measles? It may depend on when you were born https://t.co/BBDxWDRvmw https://t.co/xXlgS3RzTh
133,CNN,Sat Apr 20 03:00:13 +0000 2019,My grandfather's Passover tradition gives me hope | Barbara Fischkin for @CNNopinion https://t.co/FMKxqhcPtf https://t.co/ThJVtIxJEW
134,CNN,Sat Apr 20 02:50:04 +0000 2019,Welcome to the post-Mueller presidency | Analysis by @CillizzaCNN https://t.co/kBOmNuC4rd https://t.co/t75L4I4CpP
135,CNN,Sat Apr 20 02:40:06 +0000 2019,There were only 147 of the world's fattest parrots alive -- and then came the baby boom https://t.co/kSfSgqvlKE https://t.co/WXCQiauSFI
136,CNN,Sat Apr 20 02:30:07 +0000 2019,Two US soldiers were questioned by Mexican troops earlier this month while conducting a surveillance operation on t… https://t.co/N3ZvbTtrzg
137,CNN,Sat Apr 20 02:30:00 +0000 2019,.@CillizzaCNN says the Mueller report clearly proved that “Donald Trump is someone who is totally and completely co… https://t.co/9QS9gCKOHJ
138,CNN,Sat Apr 20 02:20:06 +0000 2019,Fact check: Erik Prince's public claims vs. the Mueller report https://t.co/ksrVy4TQt0 https://t.co/RcwQzVUxuC
139,CNN,Sat Apr 20 02:15:00 +0000 2019,"Kara Swisher, co-founder and executive editor of Recode, is pushing big tech CEOs to take a more ethical approach t… https://t.co/szC7BftIvn"
140,CNN,Sat Apr 20 02:10:06 +0000 2019,Pioneering Austrian climber David Lama is among three professional mountain climbers who were caught in an avalanch… https://t.co/I2V0isdf0f
141,CNN,Sat Apr 20 02:05:01 +0000 2019,"Lorraine Warren, one of America's most well-known paranormal investigators whose work with her husband inspired the… https://t.co/knl4OgskxQ"
142,CNN,Sat Apr 20 02:00:06 +0000 2019,Sen. Elizabeth Warren has called on the House of Representatives to begin impeachment proceedings against President… https://t.co/MMU4ZX31FM
143,CNN,Sat Apr 20 01:50:08 +0000 2019,Facebook stored millions of Instagram passwords as plain text in a database that could be accessed by its staff… https://t.co/VvSUtk3g7e
144,CNN,Sat Apr 20 01:45:07 +0000 2019,Maria Butina has asked a federal judge to release her from prison and send her home to Russia after she spent nine… https://t.co/HRJZPqdign
145,CNN,Sat Apr 20 01:40:06 +0000 2019,The most effective ways to curb climate change might surprise you https://t.co/Vc5D1SENAk https://t.co/gP8aFNBXXL
146,CNN,Sat Apr 20 01:30:04 +0000 2019,"An Easter amid the ashes: Their churches charred, Christians in Louisiana and at Notre Dame Cathedral celebrate res… https://t.co/GIAssYlbsY"
147,CNN,Sat Apr 20 01:20:04 +0000 2019,"The attorney general of Washington is investigating the preschool at a prominent synagogue in the nation's capital,… https://t.co/8t9Z6xOoE4"
148,CNN,Sat Apr 20 01:15:03 +0000 2019,"How will today’s Democratic candidates appeal to young voters? Hear from Bernie Sanders, Kamala Harris, Elizabeth W… https://t.co/MtIC9nEil4"
149,CNN,Sat Apr 20 01:10:03 +0000 2019,Special counsel Robert Mueller and his team accumulated scores of communications over its nearly two year investiga… https://t.co/fBOBvXqhxU
150,CNN,Sat Apr 20 01:00:07 +0000 2019,A world champion triathlete broke his neck but came back to complete Ironman competition https://t.co/b8uQlXQ909 https://t.co/7C52XRcvJH
151,CNN,Sat Apr 20 00:54:01 +0000 2019,"RT @CNNSitRoom: ""Everybody is very sober about this process, and understands that this is the most significant thing that you can undertake…"
152,CNN,Sat Apr 20 00:53:54 +0000 2019,"RT @OutFrontCNN: ""I think the American people have to absorb this report. I've read it once, I started reading it a second time ... as you…"
153,CNN,Sat Apr 20 00:50:02 +0000 2019,"Two 14-year-old girls in Florida have been arrested after a teacher discovered their plans to kill nine people, she… https://t.co/HHQOU2GYi7"
154,CNN,Sat Apr 20 00:40:02 +0000 2019,Russian operatives used cryptocurrency at almost every stage in their online efforts to interfere in the 2016 US pr… https://t.co/Nn2KvzOAPf
155,CNN,Sat Apr 20 00:30:06 +0000 2019,Soylent was a tech company that sold food. Now it wants to go mainstream. https://t.co/HLiC2vEOiN https://t.co/1bW2fjruLS
156,CNN,Sat Apr 20 00:20:05 +0000 2019,Mueller's report leaves open possibility of post-White House criminal exposure for Trump | Analysis by Kara Scannel… https://t.co/XDvpoKbZD3
157,CNN,Sat Apr 20 00:10:03 +0000 2019,"After the Mueller report was released, the brother of Seth Rich called on those who pushed a far-right conspiracy t… https://t.co/iRmhMCjSHO"
158,CNN,Sat Apr 20 00:00:07 +0000 2019,"Columbine and Parkland.

Two high school massacres, two communities changed forever.

Two fateful days, two decades… https://t.co/ceQRfrt9cM"
159,CNN,Fri Apr 19 23:50:07 +0000 2019,Democrats set sights on Trump's finances as post-Mueller probes take shape https://t.co/5f12OzIJky https://t.co/KiJ6kVDsGx
160,CNN,Fri Apr 19 23:40:06 +0000 2019,"9 countries and 3 US federal agencies will investigate how the Boeing 737 Max airplane was initially certified, acc… https://t.co/6dSypnfUBZ"
161,CNN,Fri Apr 19 23:30:06 +0000 2019,"Sen. Mitt Romney issued a sharp rebuke of President Trump following the release of the Mueller report: ""I am sicken… https://t.co/PiUNEY8qnM"
162,CNN,Fri Apr 19 23:20:06 +0000 2019,"Hurricane Michael, which barreled into the Florida Panhandle in October, was actually a Category 5 storm when it hi… https://t.co/wSwpEhQcXm"
163,CNN,Fri Apr 19 23:10:04 +0000 2019,The bees living on Notre Dame's roof survived the fire https://t.co/MsFZf9zIBY https://t.co/KcoJjbVEKa
164,CNN,Fri Apr 19 23:00:07 +0000 2019,Rapper Cardi B rejects a plea deal regarding her involvement in a strip club brawl that took place last year… https://t.co/SZvrhgfCbD
